date,article_count,daily_fear,daily_greed,daily_uncertainty,daily_optimism,fear_std,greed_std,uncertainty_std,optimism_std,fnei_simple,fnei_weighted,fnei_ratio,fnei_raw,fnei,fnei_category,NIFTY50,SENSEX,NIFTY50_return,NIFTY50_prev_return,NIFTY50_volatility,NIFTY50_direction,SENSEX_return,SENSEX_prev_return,SENSEX_volatility,SENSEX_direction,NIFTY50_next_day_return,INDIA_VIX,VIX_change,VIX_pct_change
2018-01-01,1,1.0,0.0,0.16975500000000002,0.0,,,,,20.756124999999997,12.453674999999999,0.0,12.453674999999999,12.453674999999999,Extreme Fear,,33812.75,,,,0,,,,0,,30.993428306022466,,
2018-01-02,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,37.7030875,Fear,10442.2001953125,33812.26171875,,,,0,-1.4440847775078888e-05,,,0,9.5760673203421e-05,29.72347139765763,-1.2699569083648363,-0.040975038186339185
2018-01-03,1,0.0641625,0.048810000000000006,1.0,0.073215,,,,,26.446562500000002,22.743575000000003,10.287159492070185,22.743575000000003,32.71658333333333,Fear,10443.2001953125,33793.37890625,9.5760673203421e-05,,,0,-0.000558616494614,-1.4440847775078888e-05,,0,0.0058812093687898,31.295377076201383,1.5719056785437537,0.05288432355406614
2018-01-04,1,0.0,0.10548500000000001,1.0,1.0,,,,,52.637125,58.164550000000006,52.50500478512078,58.164550000000006,39.078575,Fear,10504.7998046875,33969.640625,0.0058812093687898,9.5760673203421e-05,,1,0.0052023099766944,-0.000558616494614,,1,0.005132056867763,33.046059712816046,1.7506826366146626,0.05594061488225277
2018-01-05,1,1.0,0.0,0.15045,0.0,,,,,21.23875,12.74325,0.0,12.74325,33.81151,Fear,10558.849609375,34153.8515625,0.005132056867763,0.0058812093687898,,1,0.0054081604031477,0.0052023099766944,,1,0.006113570815585,29.531693250553328,-3.5143664622627178,-0.10634751897212613
2018-01-08,1,0.0,0.16914500000000002,0.24509803921568626,1.0,,,,,73.10117401960785,71.3978794117647,82.6693126697931,71.3978794117647,50.7746399159664,Neutral,10623.599609375,34352.7890625,0.006113570815585,0.005132056867763,,1,0.0058078474548742,0.0054081604031477,0.0502880788626669,1,0.0012605846162125,29.53172608610164,3.283554831057245e-05,1.1118748943772516e-06
2018-01-09,1,1.0,0.0,0.105065,0.0,,,,,22.373375,13.424025,0.0,13.424025,43.699143487394956,Neutral,10637.0,34443.19140625,0.0012605846162125,0.006113570815585,0.044600740867941,0,0.0026281301659957,0.0058078474548742,0.0451154270190737,1,-0.0004513385294137,19.61849971780888,-9.913226368292758,-0.33568056060760254
2018-01-10,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,49.44327563025211,Neutral,10632.2001953125,34433.0703125,-0.0004513385294137,0.0012605846162125,0.0481042630668924,0,-0.0002938920774817,0.0026281301659957,0.045887840453611,0,0.0017854294613236,18.345295764995058,-1.273203952813823,-0.06489813039363357
2018-01-11,1,0.134415,0.0,1.0,0.0,,,,,21.639625000000002,17.3117,0.0,17.3117,43.60715420168067,Neutral,10651.2001953125,34503.48828125,0.0017854294613236,-0.0004513385294137,0.0445187800192789,0,0.0020429796519818,-0.0002938920774817,0.0425975531852638,1,0.0028172876803263,15.512929230057985,-2.832366534937073,-0.1543919798960971
2018-01-12,1,0.0,0.08198,0.0,1.0,,,,,77.0495,72.4594,100.0,72.4594,52.13803277310925,Neutral,10681.25,34592.390625,0.0028172876803263,0.0017854294613236,0.0412164536197974,1,0.00257330521634,0.0020429796519818,0.0398470896123496,1,0.0056295129008365,17.206765449151668,1.6938362190936829,0.10918867700444945
2018-01-15,1,0.065625,0.0,1.0,0.0,,,,,23.359375,18.6875,0.0,18.6875,40.433437500000004,Neutral,10741.5498046875,34843.51171875,0.0056295129008365,0.0028172876803263,0.0413037137805584,1,0.0072332087622148,0.00257330521634,0.0443634855763269,1,-0.0038335658715686,15.203535992430915,-2.003229456720753,-0.11642103582108843
2018-01-16,1,0.0,0.17433,0.0,1.0,,,,,79.35825000000001,75.2299,100.0,75.2299,49.26284821428572,Neutral,10700.4501953125,34771.05078125,-0.0038335658715686,0.0056295129008365,0.0523649913653971,-1,-0.0020817760269401,0.0072332087622148,0.048616836850587,-1,0.0081995535364297,16.305039629399197,1.1015036369682818,0.0724504903015104
2018-01-17,1,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,40.26963392857143,Neutral,10788.5498046875,35081.8203125,0.0081995535364297,-0.0038335658715686,0.0568069454508118,1,0.0088978900006999,-0.0020817760269401,0.0547487651837346,1,0.0026336022006909,18.16461908821325,1.8595794588140535,0.1140493676238048
2018-01-18,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,46.78974821428572,Neutral,10817.0,35260.2890625,0.0026336022006909,0.0081995535364297,0.0541847597193636,1,0.0050743184852016,0.0088978900006999,0.053155265890771,1,0.0071574797298409,13.591915482620765,-4.572703605592485,-0.25173682879811354
